BIC,LEI,INSTITUTION_NAME,,,,,,,,,,,,,
AAAARSBGXXX,485100OPHRYKVS35S666,Mobi Banka ad Beograd,,,,,,,,,,,,,
AAACKWKWXXX,21380076R9CRDLUI6F41,AL - MUZAINI EXCHANGE CO KSCC,,,,,,,,,,,,,
AAAJBG21XXX,213800PBMQ7ZZ7VG4J23,ARCUS ASSET MANAGEMENT JSC,,,,,,,,,,,,,
AAAOFRP1XXX,969500O1Q4OS43Y24G03,ACA - ASSET MANAGEMENT COMPANY & ASSOCIES,,,,,,,,,,,,,
AAAPBGS1XXX,4851007D5RB6R4HIV903,АЛАРИК КЕПИТЪЛ,,,,,,,,,,,,,
AAASTHB1XXX,254900YVPIGS9VDRZ124,บริษัทหลักทรัพย์ เอเซีย พลัส จำกัด,,,,,,,,,,,,,
AABAFI22XXX,7437006WYM821IJ3MN73,Ålandsbanken Abp,,,,,,,,,,,,,
AABBSE22XXX,549300ZHO4JCQQI13M69,SAAB Aktiebolag,,,,,,,,,,,,,
AABLHKHHXXX,2549006ZQ1MUJIL0VD24,ZA Bank Limited,,,,,,,,,,,,,
AABMIT22XXX,81560021A17F22B84850,AFV ACCIAIERIE BELTRAME S.P.A.,,,,,,,,,,,,,
AABSDE31XXX,529900S1KHKOEQL5CK20,Wüstenrot Bausparkasse Aktiengesellschaft,,,,,,,,,,,,,
AACBFR21XXX,969500GZM2NA85EX9529,SOC ALSACIENNE DE CREDIT BAIL IMMOBILIER,,,,,,,,,,,,,
AACDGB21XXX,213800H89YHJVUSWYG83,ABN AMRO CLEARING LONDON LIMITED,,,,,,,,,,,,,
AACHDE31XXX,529900L1A4DPXZYK5R45,Aachener Grundvermögen Kapitalverwaltungsgesellschaft mit beschränkter Haftung,,,,,,,,,,,,,
AACLZAJJXXX,37890099F792AB3F9782,Anglo American SA Finance Limited,,,,,,,,,,,,,
AACOUS31XXX,549300RYYRVPPB8NC636,Ambac Assurance Corporation,,,,,,,,,,,,,
AACSDE33XXX,529900EF55AUET52MH13,Sparkasse Aachen,,,,,,,,,,,,,
AADAIT21XXX,815600B5F9474E58A549,CAD IT S.P.A.,,,,,,,,,,,,,
